id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Skyline Hustle,Trap Verses,hip-hop,confident,0.72,140,0.62,0.85,0.08
12,Golden Hour Waltz,Aria Wren,classical,peaceful,0.22,66,0.70,0.30,0.95
13,Iron Reckoning,Voltline,metal,intense,0.95,160,0.35,0.55,0.04
14,Velvet Whisper,Honey Static,r&b,sensual,0.55,92,0.68,0.70,0.40
15,Wildflower Road,Cedar & Bloom,folk,nostalgic,0.45,100,0.66,0.50,0.80
16,Pulse Overdrive,Neon Echo,edm,euphoric,0.88,128,0.80,0.90,0.06
17,Dusty Porch Blues,Slow Stereo,blues,melancholy,0.30,70,0.40,0.45,0.75
18,Backroad Anthem,Cedar & Bloom,country,happy,0.60,112,0.75,0.65,0.55
